Feature,Invalid
CLIN_INFECT_DON,0.0
CANCER_FREE_INT_DON,0.0
CANCER_OTH_OSTXT_DON,0.0
CONTIN_ALCOHOL_OLD_DON,0.0
CONTIN_CIG_DON,0.0
CONTIN_COCAINE_DON,0.0
CONTIN_IV_DRUG_OLD_DON,0.0
CONTIN_OTH_DRUG_DON,0.0
DIET_DON,0.0
DIURETICS_DON,0.0
EXTRACRANIAL_CANCER_DON,0.0
HIST_ALCOHOL_OLD_DON,0.0
CANCER_SITE_DON,0.0
HIST_CIG_DON,0.0
HIST_COCAINE_DON,0.0
HIST_DIABETES_DON,0.0
DIABETES_DON,0.0
HIST_HYPERTENS_DON,0.0
HIST_IV_DRUG_OLD_DON,0.0
HIST_OTH_DRUG_DON,0.0
ABO_DON,0.0
INTRACRANIAL_CANCER_DON,0.0
OTHER_HYPERTENS_MED_DON,0.0
SKIN_CANCER_DON,0.0
HIST_CANCER_DON,0.0
HIST_INSULIN_DEP_DON,0.0
HYPERTENS_DUR_DON,0.0
INSULIN_DEP_DON,0.0
PT_OTH_DON,0.0
HEPARIN_DON,0.0
ARGININE_DON,0.0
INSULIN_DON,0.0
HGT_CM_DON_CALC,0.0
WGT_KG_DON_CALC,0.0
BMI_DON_CALC,0.0
ECD_DONOR,0.0
ENCEPH_TRR_OLD,0.0
ASCITES_TRR_OLD,0.0
CREAT_TX,0.0
TBILI_TX,0.0
INR_TX,0.0
ALBUMIN_TX,0.0
DIAL_TX,0.0
ENCEPH_TX,0.0
ASCITES_TX,0.0
MELD_PELD_LAB_SCORE,0.0
EVER_APPROVED,0.0
EXC_EVER,0.0
PX_STAT_DATE,0.0
GRF_FAIL_DATE,0.0
PREV_TX_DATE,0.0
DISCHARGE_DATE,0.0
LITYP,0.00275751768258
PRI_GRF_FAIL,0.0
VASC_THROMB,0.0
BILIARY,0.0
HEP_DENOVO,0.0
HEP_RECUR,0.0
RECUR_DISEASE,0.0
REJ_ACUTE,0.0
INFECT,0.0
GRF_FAIL_CAUSE_OSTXT,0.0
DIFFUSE_CHOLANG,0.0
HEPATIC_ART_THROM,0.0
OTHER_VASC_THROMB,0.0
HEPATIC_OUT_OBS,0.0
PORTAL_VEIN_THROM,0.0
PRI_NON_FUNC,0.0
REJ_CHRONIC,0.0
PX_NON_COMPL,0.0
GRF_STAT,0.0
LOS,0.0
AGE,0.0
DIAG,0.0
DIAG_OSTXT,0.0
DISTANCE,0.0
COLD_ISCH,0.0
COMPOSITE_DEATH_DATE,0.0
MULTIORG,0.0
SHARE_TY,0.0
AGE_GROUP,0.0
MALIG_TYPE,0.0124088295716
MALIG,0.0
MALIG_TY_OSTXT,0.0
HGT_CM_CALC,0.0
WGT_KG_CALC,0.0
BMI_CALC,0.0
ADMISSION_DATE,0.0
DIS_SGOT,0.0
DIS_ALKPHOS,0.0
EDUCATION_DON,0.0
PRI_PAYMENT_DON,0.0
PRI_PAYMENT_CTRY_DON,0.0
MEDICARE_DON,0.0
MEDICAID_DON,0.0
OTH_GOVT_DON,0.0
PRIV_INS_DON,0.0
HMO_PPO_DON,0.0
SELF_DON,0.0
DONATION_DON,0.0
FREE_DON,0.0
TRR_ID_CODE,0.0
RECOV_OUT_US,0.0
RECOV_COUNTRY,0.0
CONTROLLED_DON,0.0
TATTOOS,0.0
LI_BIOPSY,0.0
PROTEIN_URINE,0.0
CARDARREST_NEURO,0.0
RESUSCIT_DUR,0.0
INOTROP_SUPPORT_DON,0.0
REFERRAL_DATE,0.0
ADMIT_DATE_DON,0.0
HBSAB_DON,0.0
EBV_IGG_CAD_DON,0.0
EBV_IGM_CAD_DON,0.0
TRANSFUS_TERM_DON,0.0
TRANSFUS_INTRAOP_NUM_OLD_DON,0.0
TRANSFUS_PRIOR_NUM_OLD_DON,0.0
CDC_RISK_HIV_DON,0.0
MACRO_FAT_LI_DON,0.0
MICRO_FAT_LI_DON,0.0
HISTORY_MI_DON,0.0
LV_EJECT_DON,0.0
LV_EJECT_METH_DON,0.0
VESSELS_NUM_STEN_DON,0.0
PH_DON,0.0
HEMATOCRIT_DON,0.0
INO_PROCURE_AGENT_1,0.00689379420646
INO_PROCURE_AGENT_2,0.00137875884129
INO_PROCURE_AGENT_3,0.00137875884129
INO_PROCURE_OSTXT_1,0.0
INO_PROCURE_OSTXT_2,0.0
INO_PROCURE_OSTXT_3,0.0
CORONARY_ANGIO_DON,0.0
CORONARY_ANGIO_NORM_DON,0.0
TX_YEAR,0.0
LIST_MELD,0.0
TX_MELD,0.0
LT_ONE_WEEK_DON,0.0
LISTYR,0.0
DATA_TRANSPLANT,0.0
DATA_WAITLIST,0.0
CTR_CODE,0.0
OPO_CTR_CODE,0.0
INIT_OPO_CTR_CODE,0.0
END_OPO_CTR_CODE,0.0
LISTING_CTR_CODE,0.0
